ID,Region/Province,Municipality/City,2009,2012,2015
45639,,Sampaloc,11.9,15.2,11.4
45640,,San Andres,39.0,54.7,43.8
45641,,San Antonio,16.7,24.0,19.2
45642,,San Francisco (Aurora),41.4,45.1,39.3
45644,,San Narciso,41.1,44.0,35.3
45645,,Sariaya,14.5,23.2,19.8
45646,,Tagkawayan,23.7,31.0,23.8
45647,,Tayabas City,10.5,9.6,8.8
45648,,Tiaong,13.8,13.9,8.6
45649,,Unisan,21.2,23.9,20.9
45801,Rizal,Angono,2.4,3.3,4.3
45802,,Antipolo City,3.6,4.1,5.8
45803,,Baras,11.4,9.1,8.5
45804,,Binangonan,4.0,6.1,6.5
45805,,Cainta,1.4,0.7,0.7
45806,,Cardona,5.5,9.2,10.1
45807,,Jala-Jala,15.7,19.7,17.7
45808,,Rodriguez (Montalban) ,4.5,5.1,4.5
45809,,Morong,2.2,3.5,4.9
45810,,Pililla,5.9,10.8,8.0
45811,,San Mateo,2.2,3.1,5.4
45812,,Tanay,10.5,10.2,11.6
45813,,Taytay,3.2,4.1,3.5
45814,,Teresa,3.3,5.4,6.0
,Region IV-B (MIMAROPA),,,,
174001,Marinduque,Boac,26.5,7.5,15.2
174002,,Buenavista,36.9,22.1,20.5
174003,,Gasan,30.7,16.2,14.9
174004,,Mogpog,26.8,10.5,13.6
174005,,Santa Cruz,30.6,12.7,15.6
174006,,Torrijos,35.2,17.3,23.1
175101,Occidental Mindoro,Abra de Ilog,37.5,32.3,34.8
175102,,Calintaan,34.2,31.1,29.8
175103,,Looc,32.4,22.3,23.1
175104,,Lubang,23.8,14.8,14.8
175105,,Magsaysay,38.3,34.3,41.4
175106,,Mamburao,28.9,17.5,21.1
175107,,Paluan,38.0,29.6,40.6
175108,,Rizal,36.0,31.2,36.5
175109,,Sablayan,34.8,28.0,28.6
175110,,San Jose,29.8,21.2,22.7
175111,,Santa Cruz,38.1,35.2,28.4
175201,Oriental Mindoro,Baco,44.5,22.8,25.3
