,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
8228,109841,Bunggo Elementary School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,43,14.1612534,121.070773
8229,108340,Bungkol ES,IV-A (CALABARZON),Laguna,Magdalena,Laguna,Magdalena,grade 4,male,22,14.1854256,121.4299042
8230,109842,Buntog ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,25,14.1876712,121.1250825
8231,107916,Burol Elementary School,IV-A (CALABARZON),Cavite,City of Dasmarinas,Dasmarinas City,DasmariÐas II,grade 4,male,54,14.3300116,120.948783
8232,108272,Burol ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 4,male,42,14.2459299,121.5110984
8233,109843,Burol ES,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,13,14.1616348,121.095131
8234,108238,Butong ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,66,14.2862199,121.1338071
8235,108380,C. Lanuza ES,IV-A (CALABARZON),Laguna,Pagsanjan,Laguna,Pagsanjan,grade 4,male,45,14.2730556,121.4538889
8236,109788,C.M. Azcarate Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Lakeside,grade 4,male,34,14.0776439,121.3207821
8237,108117,Cabangaan ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang II,grade 4,male,18,14.214175,120.9687359
8238,107893,Cabilang Baybay ES,IV-A (CALABARZON),Cavite,Carmona,Cavite,Carmona,grade 4,male,66,14.3200909,121.0421102
8239,108455,Cabooan ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 4,male,14,14.4643544,121.4313328
8240,108029,Cabulusan ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 4,male,7,14.161032,120.758364
8241,108239,Cabuyao Cs,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 4,male,180,14.2983017,121.0841599
8242,108471,Caingin Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District II,grade 4,male,112,14.3044715,121.1255883
8243,109829,Calamba Central School,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City East II,grade 4,male,186,14.211911,121.163414
8244,108456,Calangay Elementary School,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 4,male,17,14.509179,121.4068771
8245,108255,Calauan CES,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 4,male,118,14.1383725,121.3198491
8246,108324,Caliraya ES,IV-A (CALABARZON),Laguna,Lumban,Laguna,Lumban-Kalayaan,grade 4,male,11,14.2964062,121.4964872
8247,108438,Callos (Escolapia) ES,IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,Santa Cruz,grade 4,male,36,14.2817268,121.4041901
8248,108273,Calminue ES,IV-A (CALABARZON),Laguna,Cavinti,Laguna,Cavinti,grade 4,male,9,14.2331504,121.6133122
8249,108202,Calo ES,IV-A (CALABARZON),Laguna,Bay,Laguna,Bay,grade 4,male,47,14.1846322,121.2755118
8250,108030,Caluangan ES,IV-A (CALABARZON),Cavite,Magallanes,Cavite,Magallanes,grade 4,male,14,14.1713495,120.7637298
8251,108079,Calubcob PS (San Roque Annex),IV-A (CALABARZON),Cavite,Naic,Cavite,Naic II,grade 4,male,9,14.3003008,120.7838403
8252,108294,Calumpang ES,IV-A (CALABARZON),Laguna,Liliw,Laguna,Liliw,grade 4,male,29,14.1853441,121.4127596
8253,108010,Calumpang Lejos ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 4,male,29,14.2362918,120.8459522
8254,108457,Cambuja-Bubucal ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 4,male,13,14.5129033,121.4368751
8255,108216,Canlalay ES,IV-A (CALABARZON),Laguna,City of Binan,Laguna,BiÐan,grade 4,male,110,14.3435896,121.0714895
8256,109844,Canlubang CS,IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,Calamba City West,grade 4,male,107,14.1876712,121.1250825
